Dam Name,NID ID,Owner Names,Primary Owner Type,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),Congressional District,American Indian/Alaska Native/Native Hawaiian,State Regulated Dam,Federally Regulated Dam,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,Operational Status,Operational Status Date,EAP Prepared,EAP Last Revision Date,Inundation Maps Added to NID?,Website URL
Barrick Mercur Gold Mines 87r89,UT20816,BARRICK RESOURCES (USA)  INC.,Private,,,Flood Risk Reduction,40.32258311,-112.2119885,Utah,Tooele,,0,"Utah, Congressional District 02",,Yes,No,,,25,25,25-50 feet,510,,,Undetermined,,90,,90,,0,,,,,3/28/2024,,5,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/utah
Brights Dam,VA800007,Maico USA Inc;Richard B. Winters,Private,USDA NRCS,,Recreation,36.7745,-76.5404,Virginia,Suffolk,Suffolk,4,"Virginia, Congressional District 02",,Yes,No,14,,,14,Less than 25 feet,,,,Undetermined,,148,148,76,,1.32,,,,,12/4/2022,,,Undetermined,Not Rated,,Not Applicable,3/26/2022,No,,No,https://damsafety.org/virginia
Hsbc Bank Dam,VA061087,HSBC BANK USA NA TRUSTEE,Private,,,,38.5566,-77.594,Virginia,Fauquier,,,"Virginia, Congressional District 10",,Yes,No,31,,,31,25-50 feet,,,,Undetermined,,27.78,27.78,20.8,2,0.02,,,,,12/4/2022,,,Undetermined,Not Rated,,Not Applicable,1/5/2021,No,,No,https://damsafety.org/virginia
White Oak Farms Dam,NC03254,"Forestar (USA) Real Estate Group, Inc.",Private,,,"Fire Protection, Stock, Or Small Fish Pond",35.6403,-78.504,North Carolina,Johnston,,,"North Carolina, Congressional District 13",,Yes,No,,,26,26,25-50 feet,600,,,Undetermined,,73,73,0,6,0.13,,,,,1/27/2025,1/19/2023,,Low,Poor,1/19/2023,,,No,,No,https://damsafety.org/north-carolina
Spray Dam,VA041033,"Dupont Specialty Products USA, LLC",Private,,,Recreation,37.4497,-77.43,Virginia,Chesterfield,,,"Virginia, Congressional District 04",,Yes,No,23,,,23,Less than 25 feet,,,,Undetermined,,104,104,88,,1.24,,,,,12/4/2022,,,Undetermined,Not Rated,,Not Applicable,3/8/2021,No,,No,https://damsafety.org/virginia
Spruance Polishing Dam,VA041032,"DuPont Specialty Products USA, LLC",Private,"Resource International, Ltd.",,Other,37.445,-77.4278,Virginia,Chesterfield,,0.1,"Virginia, Congressional District 04",,Yes,No,28,,,28,25-50 feet,2060,,,Undetermined,,171.5,171.5,143.6,35.2,0.25,,,,,12/4/2022,5/5/2022,6,Low,Fair,5/5/2022,"Under Investigation, Planning, Permitting, or Design for Remediation",3/9/2021,Yes,4/30/2013,No,https://damsafety.org/virginia
Heart Lake Or Deep Lake,OR01521,GLIBERT LAPHAM - USA,Private,,Yes,Other,42.2548294,-120.8420334,Oregon,Lake,LAPHAM RANCH,2,"Oregon, Congressional District 02",,Yes,No,10,8,12,12,Less than 25 feet,100,100,1898,Before 1900,,185,185,185,15.8,0.59,40,,0,Needle,4/7/2021,,,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/oregon
Fitzgerald Reservoir,OR00171,USA,Private,,Yes,Irrigation,42.48805999,-120.1316681,Oregon,Lake,PLUSH,14,"Oregon, Congressional District 02",,Yes,No,25,23,28,28,25-50 feet,550,100,1941,1940-1949,,140,140,104,37.1,4.39,42,,0,,4/7/2021,,,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/oregon
F-2 Dam Detention Basin,NV10771,CLARK COUNTY PUBLIC WORKS,Local Government,USA CORPS OF ENGINEERS,Yes,Flood Risk Reduction,36.08049,-115.32868,Nevada,Clark,LAS VEGAS,0,"Nevada, Congressional District 03",,Yes,No,23,23,27,27,25-50 feet,548,72530,2004,Since 2000,,22.5,22.5,0,2.5,1.3,11600,Uncontrolled,430,Uncontrolled1,5/2/2024,2/25/2022,1,High,Fair,2/25/2022,,,Yes,9/1/2023,No,https://damsafety.org/nevada
F-4 Detention Basin Dam,NV10625,CLARK COUNTY PUBLIC WORKS,Local Government,USA CORPS OF ENGINEERS,Yes,Flood Risk Reduction,36.04478,-115.29978,Nevada,Clark,LAS VEGAS,0,"Nevada, Congressional District 03",,Yes,No,55,31,26,55,51-100 feet,1572,59525,2005,Since 2000,,21,21,0,4,5.5,10071,Uncontrolled,59,Uncontrolled1,5/2/2024,4/11/2022,1,High,Fair,4/11/2022,,,Yes,9/1/2023,No,https://damsafety.org/nevada
Exxonmobil Coal Usa/Mine 2/Refuse Disposal Area 2,IL50191,EXXONMOBIL ENVIRONMENTAL SERVICES COMPAN,Private,SVERDRUP & PARCEL/PATRICK ENGINEERI,No,Other,38.53941,-89.58751,Illinois,Clinton,ALBERS,0.1,"Illinois, Congressional District 12",,Yes,No,56,,,56,51-100 feet,9010,0,1990,1990-1999,,1536,1536,0,115,0.44,16,Uncontrolled,1,None,5/12/2021,7/14/2020,1,High,Not Available,,,,Yes,12/1/2016,No,https://damsafety.org/illinois
Usa,SD02113,USDA FS,Federal,,No,Water Supply,45.911728,-102.543054,South Dakota,Perkins,NONE,0,"South Dakota, Congressional District 00",,No,No,16,16,16,16,Less than 25 feet,640,,1950,1950-1959,,80,80,62,,,2400,,,,2/25/2025,,0,Low,,,,,Not Required,,No,https://damsafety.org/south-dakota
Exxonmobil Coal Usa/Mine 2/Refuse Disposal Area 1,IL50505,EXXONMOBIL ENVIRONMENTAL SERVICES COMPAN,Private,PATRICK ENGINEERING,No,Tailings,38.53441,-89.58751,Illinois,Clinton,ALBERS,0.1,"Illinois, Congressional District 12",,Yes,No,47,,,47,25-50 feet,10900,0,,Undetermined,,7850,7850,0,167,0.26,719,Uncontrolled,10,None,5/12/2021,7/14/2020,1,High,Not Available,,,,Yes,12/1/2016,No,https://damsafety.org/illinois
Red Rock Detention Dam,NV10406,CLARK COUNTY PUBLIC WORKS,Local Government,USA CORPS OF ENGINEERS,No,Flood Risk Reduction,36.15305,-115.35468,Nevada,Clark,LAS VEGAS,0,"Nevada, Congressional District 03",,Yes,No,63,54,66,66,51-100 feet,4090,100000,1987,1980-1989,1996H;1996S,2007,2007,0,76,55.2,110000,Uncontrolled,923,Uncontrolled1,5/2/2024,2/24/2022,1,High,Fair,2/24/2022,,,Yes,9/1/2023,No,https://damsafety.org/nevada
,KS01709,"HARBERS, WM & HENRY",Private,USA WPA,No,"Fire Protection, Stock, Or Small Fish Pond",39.882659,-99.566825,Kansas,Phillips,LONG ISLAND,6,"Kansas, Congressional District 01",,Yes,No,30,23,30,30,25-50 feet,403,8700,,Undetermined,,154,154,120,14.42,0.5,650,None,43,None,5/2/2024,,,Low,,,,,Not Required,,No,https://damsafety.org/kansas
West Caddo Creek Ponds 1 and 2 Levee,TX06510,CITY OF CADDO MILLS,Local Government,DOD USA,No,"Fire Protection, Stock, Or Small Fish Pond",33.063882,-96.233462,Texas,Hunt,GREENVILLE,10,"Texas, Congressional District 03",,Yes,No,12,12,12,12,Less than 25 feet,0,0,1943,1940-1949,,85,85,0,6.2,0,,None,,None1,9/10/2024,8/22/1978,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Eagle Mountain Dam,TX00779,TARRANT REGIONAL WATER DISTRICT,State,"FREESE AND NICHOLS, INC.;FREESEAND NICHOLS, INC;HAWLEY AND  FREESE AND NICHOLS;WSP USA, INC.",No,Irrigation,32.8739,-97.461036,Texas,Tarrant,FORT WORTH,1,"Texas, Congressional District 12",,Yes,No,85,85,85,85,51-100 feet,7900,0,1932,1930-1939,1962O;1971H;2014F,677127,677127,185087,9246,1970,125100,,1500,Other Controlled2;Uncontrolled1;Valve12,9/10/2024,9/25/2019,5,High,Satisfactory,5/29/2020,Normal Operations,5/21/2022,Yes,2/23/2023,No,https://damsafety.org/texas
Lake Afton Dam,KS02553,SEDGWICK COUNTY,Local Government,USA WPA,No,Recreation,37.60644723,-97.63157683,Kansas,Sedgwick,OXFORD,37,"Kansas, Congressional District 04",,Yes,No,47,41,55,55,51-100 feet,4037,421000,1942,1940-1949,,6146,6146,2976,238,10.28,36057,Uncontrolled,400,None,5/2/2024,9/24/2020,,High,Satisfactory,11/2/2020,,,Yes,4/16/1982,No,https://damsafety.org/kansas
,KS01584,"QUAYLE, WR",Private,USA WPA,No,"Fire Protection, Stock, Or Small Fish Pond",39.332751,-98.833508,Kansas,Osborne,OSBORNE,12,"Kansas, Congressional District 01",,Yes,No,30,24,30,30,25-50 feet,475,8480,,Undetermined,,70,70,52,,,1077,,72,None,5/2/2024,,,Low,,,,,Not Required,,No,https://damsafety.org/kansas
,KS01560,LOUNORA REALTY CO,Private,USA WPA,No,"Fire Protection, Stock, Or Small Fish Pond",39.599544,-99.997465,Kansas,Norton,EDMOND,10,"Kansas, Congressional District 01",,Yes,No,36,34,36,36,25-50 feet,200,7000,,Undetermined,,245,245,169,,,3390,,100,None,5/2/2024,10/16/1979,,Low,,,,,Not Required,,No,https://damsafety.org/kansas
Willow Bend Lake No 2 Dam,TX04860,CLUBCORP USA INC,Private,"NO DATA FOR ORIGINAL DESIGNER;PAPE-DAWSON ENGINEERS, INC.;TALMADGE TINSLEY COMPANY",No,Recreation,33.037906,-96.807602,Texas,Collin,PLANO,0.5,"Texas, Congressional District 03",,Yes,No,23,23,23,23,Less than 25 feet,975,0,1957,1950-1959,1980H;2016S,63.6,63.6,45.6,7.5,0.8,4440,Uncontrolled,100,Uncontrolled1,9/10/2024,12/6/2019,5,High,Satisfactory,7/31/2020,Normal Operations,5/21/2022,Yes,4/29/2013,No,https://damsafety.org/texas
,KS01243,"SCHWENLEY, LEE",Private,USA WPA,No,"Fire Protection, Stock, Or Small Fish Pond",39.025832,-95.116868,Kansas,Leavenworth,LINWOOD,6,"Kansas, Congressional District 02",,Yes,No,42,37,42,42,25-50 feet,475,20500,,Undetermined,,101,101,81,,,,,16,None,5/2/2024,,,Low,,,,,Not Required,,No,https://damsafety.org/kansas
Renner Sibley Creek,CA00921,USA Investments Associates,Private,,Yes,Water Supply,41.987,-120.5917,California,Modoc,,,"California, Congressional District 01",,Yes,No,28,24,,28,25-50 feet,1275,26145,1959,1950-1959,,765,765,,95,2.18,,,,,9/13/2024,6/26/2024,0.5,Low,Satisfactory,9/1/2017,Normal Operations,2/22/2023,Not Required,,No,https://damsafety.org/california
Tropicana Detention Basin Dam,NV10562,CLARK COUNTY PUBLIC WORKS,Local Government,USA CORPS OF ENGINEERS,No,Flood Risk Reduction,36.0817,-115.1988,Nevada,Clark,LAS VEGAS,0,"Nevada, Congressional District 03",,Yes,No,39,10,39,39,25-50 feet,2780,150000,1999,1990-1999,,825,825,0,52.8,172.1,13000,Uncontrolled,3485,Uncontrolled1,5/2/2024,5/3/2023,1,High,Fair,5/3/2023,,,Yes,9/1/2023,No,https://damsafety.org/nevada
,KS01825,"SHAW, LW",Private,USA WPA,No,"Fire Protection, Stock, Or Small Fish Pond",39.549809,-99.410259,Kansas,Rooks,,,"Kansas, Congressional District 01",,Yes,No,31,23,31,31,25-50 feet,383,9463,,Undetermined,,99,99,66,,,1131,,48,None,5/2/2024,,,Low,,,,,Not Required,,No,https://damsafety.org/kansas
F-1 Dam Detention Basin,NV10770,CLARK COUNTY PUBLIC WORKS,Local Government,USA CORPS OF ENGINEERS,Yes,Flood Risk Reduction,36.09772,-115.33861,Nevada,Clark,LAS VEGAS,0,"Nevada, Congressional District 03",,Yes,No,26,16,26,26,25-50 feet,1589,199100,2004,Since 2000,,56.4,56.4,0,6.8,4.6,25100,Uncontrolled,600,Uncontrolled1,5/2/2024,2/25/2022,1,High,Poor,2/25/2022,,,Yes,9/1/2023,No,https://damsafety.org/nevada
Logan Lake,KS02523,"LOGAN, CITY OF",Local Government,USA WPA,No,Water Supply,39.628818,-99.581016,Kansas,Phillips,LOGAN,2,"Kansas, Congressional District 01",,Yes,No,38,34,38,38,25-50 feet,1000,49857,1938,1930-1939,,470,470,362,28.08,,3190,,75,None,5/2/2024,12/8/2004,,Low,,,,,Not Required,,No,https://damsafety.org/kansas
,KS01200,COSSELL,Private,USA WPA,No,"Fire Protection, Stock, Or Small Fish Pond",37.582819,-99.380413,Kansas,Kiowa,,,"Kansas, Congressional District 04",,Yes,No,26,19,26,26,25-50 feet,575,7254,1937,1930-1939,,246,246,160,,,4239,,235,None,5/2/2024,,,Low,,,,,Not Required,,No,https://damsafety.org/kansas
,KS00284,"MILEY, JC",Private,USA WPA,No,"Fire Protection, Stock, Or Small Fish Pond",37.697458,-96.912381,Kansas,Butler,AUGUSTA,4,"Kansas, Congressional District 04",,Yes,No,34,33,34,34,25-50 feet,550,15108,,Undetermined,,231,231,130,,,3000,,125,None,5/2/2024,,,Low,,,,,Not Required,,No,https://damsafety.org/kansas
,KS01901,"THOMAS, ADOLPHUS J",Private,USA WPA,No,"Fire Protection, Stock, Or Small Fish Pond",39.119489,-95.867575,Kansas,Shawnee,SILVER LAKE,1,"Kansas, Congressional District 02",,Yes,No,30,24,30,30,25-50 feet,518,18661,,Undetermined,,61,61,41,,,720,,48,None,5/2/2024,,,Low,,,,,Not Required,,No,https://damsafety.org/kansas
Spriggs Rock,KS02525,"HOGAN, SCOTT",Local Government,USA WPA,No,Water Supply,38.402,-98.048761,Kansas,Rice,LITTLE RIVER,2,"Kansas, Congressional District 01",,Yes,No,31,25,31,31,25-50 feet,1100,24500,1940,1940-1949,,240,240,175,31.2,5.4,,Uncontrolled,122,None,5/2/2024,1/10/2005,,Low,,1/19/2005,,,Not Required,,No,https://damsafety.org/kansas
Mccain Foods Process Water Storage Facil,WA00657,McCain Foods USA Inc,Private,,No,Other,46.856741,-118.966065,Washington,Adams,None,0,"Washington, Congressional District 05",,Yes,No,,44,44,44,25-50 feet,7317,,1996,1990-1999,1996H,1550,1550,1274,,0.11,27,,,,5/16/2024,8/7/2018,5,High,Satisfactory,8/7/2018,,,Yes,4/24/2020,No,https://damsafety.org/washington
Siltcoos Lake,OR00358,INDUSTRIAL HARBOR USA,Private,,No,Other,43.88024139,-124.1325531,Oregon,Lane,NO DOWNSTREAM SETTLEMENT,,"Oregon, Congressional District 04",,Yes,No,12,12,14,14,Less than 25 feet,130,100,1964,1960-1969,,15070,15070,15070,3585,50,10000,,0,Slide (sluice gate),4/7/2021,9/17/2018,6,Low,Not Rated,,,,No,,No,https://damsafety.org/oregon
Lake Waltanna,KS01893,"MILLER, WALTER & ANNA",Private,USA WPA,No,"Fire Protection, Stock, Or Small Fish Pond",37.60047307,-97.61329071,Kansas,Sedgwick,OXFORD,38,"Kansas, Congressional District 04",,Yes,No,29,23,29,29,25-50 feet,890,23198,,Undetermined,,228,228,158,,,4426,,100,None,5/2/2024,,,Low,,,,,Not Required,,No,https://damsafety.org/kansas
Blue Diamond Upper Detention Dam,NV10622,CLARK COUNTY PUBLIC WORKS,Local Government,USA CORPS OF ENGINEERS,No,Flood Risk Reduction,36.02993,-115.31731,Nevada,Clark,LAS VEGAS,0,"Nevada, Congressional District 03",,Yes,No,61,45,61,61,51-100 feet,3073,100412,2000,Since 2000,,691,691,0,138.6,68.3,148650,Uncontrolled,1831,Uncontrolled1,5/2/2024,2/23/2022,1,High,Fair,2/23/2022,,,Yes,9/1/2023,No,https://damsafety.org/nevada
,KS03381,"HICKERT, JH",Private,USA WPA,No,"Fire Protection, Stock, Or Small Fish Pond",39.599414,-100.082638,Kansas,Norton,LENORA,5,"Kansas, Congressional District 01",,Yes,No,30,25,30,30,25-50 feet,550,15440,,Undetermined,,191,191,150,,,1283,,55,None,5/2/2024,,,Low,,,,,Not Required,,No,https://damsafety.org/kansas
,KS01437,"JOHNSON & BERNING, ALMY & HERMAN",Private,USA WPA,No,"Fire Protection, Stock, Or Small Fish Pond",37.120344,-95.715217,Kansas,Montgomery,COFFEYVILLE,14,"Kansas, Congressional District 02",,Yes,No,32,28,32,32,25-50 feet,410,13500,,Undetermined,,64,64,43,,,,,30,None,5/2/2024,,,Low,,,,,Not Required,,No,https://damsafety.org/kansas
,KS01241,"FLINNER, MAX",Private,USA WPA,No,"Fire Protection, Stock, Or Small Fish Pond",39.212081,-95.035844,Kansas,Leavenworth,LINWOOD,19,"Kansas, Congressional District 02",,Yes,No,38,33,38,38,25-50 feet,254,8600,1938,1930-1939,,108,108,92,,,810,,54,None,5/2/2024,,,Low,,,,,Not Required,,No,https://damsafety.org/kansas
Dry Creek Diversion Dam,OR03754,USA INVESTMENT ASSOCS INC,Private,NORRIS,No,Other,42.00751876,-120.5552368,Oregon,Lake,NO DOWNSTREAM SETTLEMENT,,"Oregon, Congressional District 02",,Yes,No,13,,,13,Less than 25 feet,0,100,1974,1970-1979,,50,0,50,0,32.7,0,,0,,4/7/2021,6/22/2011,6,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/oregon
Upper Lake Royer,MD00157,Washington Co Commissioners,Local Government,US NAVY DOD USA,No,Water Supply,39.7075,-77.4983,Maryland,Washington,"Rouzerville, PA",2,"Maryland, Congressional District 06",,Yes,No,12,,,12,Less than 25 feet,550,,1898,Before 1900,1993S,54,54,40,7,1.6,350,Uncontrolled,35,Slide (sluice gate),2/11/2025,3/19/2024,,Low,Fair,3/19/2024,Normal Operations,3/19/2024,No,,No,https://damsafety.org/maryland
Garnett City Dam,KS00202,"GARNETT, CITY OF",Local Government,BG CONSULTANTS INC;USA WPA,No,Recreation,38.30566897,-95.24361802,Kansas,Anderson,GARNETT,22,"Kansas, Congressional District 03",,Yes,No,60,49,55,60,51-100 feet,1100,,1935,1930-1939,,920,920,840,45,2.11,,,82,None,5/2/2024,4/22/2022,,Low,,,,,Not Required,,No,https://damsafety.org/kansas
,KS01586,LAKE,Private,USA WPA,No,"Fire Protection, Stock, Or Small Fish Pond",39.180191,-98.8578,Kansas,Osborne,,,"Kansas, Congressional District 01",,Yes,No,37,26,37,37,25-50 feet,457,12120,1936,1930-1939,,94,94,71,,,1347,,94,None,5/2/2024,,,Low,,,,,Not Required,,No,https://damsafety.org/kansas
,KS01585,"MCMILLEN, CG",Private,USA WPA,No,"Fire Protection, Stock, Or Small Fish Pond",39.33991,-98.708562,Kansas,Osborne,OSBORNE,5,"Kansas, Congressional District 01",,Yes,No,33,26,33,33,25-50 feet,730,27490,,Undetermined,,207,207,153,,,1150,,160,None,5/2/2024,,,Low,,,,,Not Required,,No,https://damsafety.org/kansas
,KS00192,GARRISON,Private,USA WPA,No,"Fire Protection, Stock, Or Small Fish Pond",38.201175,-95.135311,Kansas,Anderson,CENTERVILLE,8,"Kansas, Congressional District 03",,Yes,No,27,21,33,33,25-50 feet,590,11440,1938,1930-1939,,249,249,178.78,30.8,,5054,,150,None,5/2/2024,,,Low,,,,,Not Required,,No,https://damsafety.org/kansas
Refinery Dam,TX04800,ALON USA REFINING LLC,Private,FORREST AND COTTON,No,,32.260043,-101.410311,Texas,Howard,,,"Texas, Congressional District 19",,Yes,No,30,30,36,36,25-50 feet,940,0,1976,1970-1979,,500,500,263,28.22,1.25,1690,Uncontrolled,60,Uncontrolled2,9/10/2024,3/5/1986,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Oknoname 099002,OK21118,USA,Private,,No,Recreation,34.4726989,-97.04300153,Oklahoma,Murray,DOUGHERTY,6,"Oklahoma, Congressional District 04",Chickasaw OTSA,Yes,No,30,30,30,30,25-50 feet,470,0,1940,1940-1949,,120,120,80,6,,940,Controlled,1,Valve1,6/22/2018,6/12/2002,5,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/oklahoma
R-4 Detention Dam,NV10621,CLARK COUNTY PUBLIC WORKS,Local Government,USA CORPS OF ENGINEERS,No,Flood Risk Reduction,36.11394,-115.35303,Nevada,Clark,LAS VEGAS,0,"Nevada, Congressional District 03",,Yes,No,38,29,39,39,25-50 feet,1151,,2004,Since 2000,,524,524,0,35.8,10.5,31271,Uncontrolled,835,Uncontrolled1,5/2/2024,2/25/2022,1,High,Fair,2/25/2022,,,Yes,9/1/2023,No,https://damsafety.org/nevada
Christina,ME00226,"McCain Foods USA, Inc.",Private,,No,Hydroelectric,46.689922,-67.893757,Maine,Aroostook,Fort Fairfield,,"Maine, Congressional District 02",,Yes,No,30,16,30,30,25-50 feet,7392,,1967,1960-1969,,13900,13900,3800,480,5,,,5,,2/24/2025,5/11/2022,6,High,Poor,5/11/2022,,,Yes,2/22/2024,No,https://damsafety.org/maine
,KS01716,"ZILLINGER, ADAM",Private,USA WPA,No,"Fire Protection, Stock, Or Small Fish Pond",39.752469,-99.491941,Kansas,Phillips,SPEED,10,"Kansas, Congressional District 01",,Yes,No,36,24,36,36,25-50 feet,421,6500,,Undetermined,,50,50,35,,,1350,,81,None,5/2/2024,,,Low,,,,,Not Required,,No,https://damsafety.org/kansas
,KS00190,"MILLIGAN, JOSIE",Private,USA WPA,No,"Fire Protection, Stock, Or Small Fish Pond",38.245753,-95.207352,Kansas,Anderson,GREELEY,11,"Kansas, Congressional District 03",,Yes,No,33,32,33,33,25-50 feet,300,10400,,Undetermined,,39,39,33,,,,,20,None,5/2/2024,,,Low,,,,,Not Required,,No,https://damsafety.org/kansas
